"Tipo [Class]";"Objeto principal [Parent]";"Identificador [Alias]";"Orden de clasificación [Position]";"Visible [IsVisible]";"Nombre/Español [Name/es]"
StartPage;;Categories;240;1;INICIO
Category;;GAMING;10;1;"PRODUCTOS GAMING"
Category;;NOTICIAS;20;1;"NOTICIAS GAMING"
Category;;FUTURO;30;0;"BLACK FRIDAY"
Category;;REVIEW;40;0;"REVIEWS GAMING"
Category;GAMING;TORRES_GAMING;10;1;"TORRES PERSONALIZADAS GAMING"
Category;GAMING;PORTATILES_GAMING;20;0;"PORTATILES GAMING"
Category;GAMING;PERIFERICOS_GAMING;30;1;"PERIFERICOS GAMING"
Category;GAMING/TORRES_GAMING;INTEL;10;1;INTEL
Category;GAMING/TORRES_GAMING;AMD;20;1;AMD
Category;GAMING/PERIFERICOS_GAMING;TECLADOS;10;1;TECLADOS
Category;GAMING/PERIFERICOS_GAMING;RATONES;20;1;RATONES
Category;GAMING/PERIFERICOS_GAMING;MONITORES;30;1;MONITORES
Category;GAMING/PERIFERICOS_GAMING;AURICULARES;40;1;AURICULARES
Category;GAMING/PERIFERICOS_GAMING;KITS_GAMING;50;0;"KITS GAMING"
Category;GAMING/PERIFERICOS_GAMING;VOLANTES;60;0;VOLANTES
Category;GAMING/PERIFERICOS_GAMING;ALFOMBRILLAS;70;1;ALFOMBRILLAS
Category;GAMING/PERIFERICOS_GAMING;SILLAS_GAMING;80;1;"SILLAS GAMING"
Category;NOTICIAS;26112019;10;0;26112019
Category;NOTICIAS;22112019;20;0;22112019
Category;NOTICIAS;21112019;30;0;21112019
Category;NOTICIAS;20112019;40;0;20112019
Category;NOTICIAS;27112019;50;0;27112019
Category;NOTICIAS;28112019;60;0;28112019
Category;NOTICIAS;02122019;70;0;02122019
Category;NOTICIAS;03122019;80;0;03122019
Category;NOTICIAS;23042020;90;0;23042020
Category;NOTICIAS;14102020;100;0;14102020
Category;NOTICIAS;19102020;110;0;19102020
Category;NOTICIAS;26102020;120;0;26102020
Category;NOTICIAS;09042021;130;0;09042021
