"Identificador [Alias]";"Name/Español [Name/es]";"Atributo/Identificador [ProductAttribute/Alias]";"Atributo/Name/Español [ProductAttribute/Name/es]";"Atributo/Type [ProductAttribute/Type]";"Atributo/IsVisible [ProductAttribute/IsVisible]";"Atributo/Orden de clasificación [ProductAttribute/Position]";"Selección de valor/Identificador [PreDefAttribute/Alias]";"Selección de valor/Valor/Español [PreDefAttribute/ValueLocString/es]";"Selección de valor/Valor [PreDefAttribute/ValueString]";"Selección de valor/Orden de clasificación [PreDefAttribute/Position]"
;Básico;;;;;;;;;
PROCESADOR;PROCESADOR;I3_8100;"I3 8100";PreDefLocalizedString;1;10;"i5 8400";"i5 8400";"i5 8400";10
PROCESADOR;PROCESADOR;I3_8100;"I3 8100";PreDefLocalizedString;1;10;"i7 8700";"i7 8700";"i7 8700";20
COLOR;COLOR;DESERT;DESERT;LocalizedString;1;10;;;;
COLOR;COLOR;JUNGLE;JUNGLE;LocalizedString;1;20;;;;
COLOR;COLOR;GAV;GAV;LocalizedString;1;30;;;;
COLOR;COLOR;NEGRO;NEGRO;LocalizedString;1;40;;;;
COLOR;COLOR;ROSA;ROSA;LocalizedString;1;50;;;;
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;rojo;ROJO;;10
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;negro;NEGRO;;20
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;GAV;GAV;GAV;30
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;"GAV DESERT";DESERT;"GAV DESERT";40
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;JUNGLE;JUNGLE;JUNGLE;50
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;BLACK;BLACK;BLACK;60
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;AZUL;AZUL;;70
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;VERDE;VERDE;;80
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;PINK;PINK;;90
COLOR;COLOR;COLOR;COLOR;PreDefLocalizedString;1;60;NARANJA;NARANJA;;100
TAMANO;"TAMAÑO";PEQUENO;"PEQUEÑO";LocalizedString;1;10;;;;
TAMANO;"TAMAÑO";GRANDE;GRANDE;LocalizedString;1;20;;;;
TAMANO;"TAMAÑO";TAMANO;"TAMAÑO";PreDefLocalizedString;1;30;"PEQUEÑO";"PEQUEÑO";"PEQUEÑO";10
TAMANO;"TAMAÑO";TAMANO;"TAMAÑO";PreDefLocalizedString;1;30;MEDIANO;MEDIANO;MEDIANO;20
TAMANO;"TAMAÑO";TAMANO;"TAMAÑO";PreDefLocalizedString;1;30;GRANDE;GRANDE;GRANDE;30
TAMANO;"TAMAÑO";TAMANO;"TAMAÑO";PreDefLocalizedString;1;30;XL;XL;;40
